strategy_id,entry_time,exit_time,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
A,2026-03-03T09:00:00+00:00,2026-03-03T10:00:00+00:00,long,1.161036,1.16225,100000,104.59,0.1046,stop_loss
A,2026-03-03T11:00:00+00:00,2026-03-03T12:00:00+00:00,long,1.159958,1.16225,100000,197.58,0.1976,stop_loss
A,2026-03-03T13:00:00+00:00,2026-03-03T14:00:00+00:00,long,1.159555,1.16225,100000,232.44,0.2324,stop_loss
A,2026-03-03T15:00:00+00:00,2026-03-03T16:00:00+00:00,long,1.157675,1.160901,100000,278.61,0.2786,session_filter
A,2026-03-05T09:00:00+00:00,2026-03-05T15:00:00+00:00,long,1.162656,1.158614,100000,-347.59,-0.3476,stop_loss
A,2026-03-06T09:00:00+00:00,2026-03-06T10:00:00+00:00,long,1.157809,1.160631,100000,243.73,0.2437,stop_loss
A,2026-03-06T11:00:00+00:00,2026-03-06T12:00:00+00:00,long,1.156604,1.160631,100000,348.2,0.3482,stop_loss
A,2026-03-06T13:00:00+00:00,2026-03-06T14:00:00+00:00,long,1.156069,1.160631,100000,394.61,0.3946,stop_loss
A,2026-03-06T15:00:00+00:00,2026-03-06T16:00:00+00:00,long,1.158212,1.161036,100000,243.82,0.2438,session_filter
A,2026-03-09T13:00:00+00:00,2026-03-09T16:00:00+00:00,long,1.157943,1.159152,100000,104.33,0.1043,session_filter
A,2026-03-10T12:00:00+00:00,2026-03-10T13:00:00+00:00,long,1.163738,1.164687,100000,81.53,0.0815,stop_loss
A,2026-03-12T12:00:00+00:00,2026-03-12T13:00:00+00:00,long,1.154201,1.154734,100000,46.19,0.0462,stop_loss
A,2026-03-12T14:00:00+00:00,2026-03-12T15:00:00+00:00,long,1.152472,1.154734,100000,196.3,0.1963,stop_loss
A,2026-03-13T11:00:00+00:00,2026-03-13T16:00:00+00:00,long,1.147315,1.144558,100000,-240.36,-0.2404,session_filter
A,2026-03-16T09:00:00+00:00,2026-03-16T11:00:00+00:00,long,1.145344,1.148879,100000,308.61,0.3086,take_profit
A,2026-03-16T12:00:00+00:00,2026-03-16T16:00:00+00:00,long,1.14771,1.14969,100000,172.46,0.1725,session_filter
A,2026-03-17T12:00:00+00:00,2026-03-17T16:00:00+00:00,long,1.152738,1.153136,100000,34.59,0.0346,session_filter
A,2026-03-19T09:00:00+00:00,2026-03-19T15:00:00+00:00,long,1.148369,1.15389,100000,480.77,0.4808,take_profit
A,2026-03-20T09:00:00+00:00,2026-03-20T10:00:00+00:00,long,1.155268,1.157274,100000,173.59,0.1736,stop_loss
A,2026-03-20T12:00:00+00:00,2026-03-20T13:00:00+00:00,long,1.156738,1.157274,100000,46.29,0.0463,stop_loss
A,2026-03-20T14:00:00+00:00,2026-03-20T15:00:00+00:00,long,1.153935,1.157274,100000,289.32,0.2893,stop_loss
A,2026-03-23T09:00:00+00:00,2026-03-23T10:00:00+00:00,long,1.149822,1.153136,100000,288.28,0.2883,stop_loss
A,2026-03-23T11:00:00+00:00,2026-03-23T12:00:00+00:00,long,1.155802,1.159801,100000,345.95,0.3459,take_profit
A,2026-03-23T13:00:00+00:00,2026-03-23T16:00:00+00:00,long,1.160227,1.15942,100000,-69.57,-0.0696,session_filter
A,2026-03-24T13:00:00+00:00,2026-03-24T14:00:00+00:00,long,1.158078,1.158749,100000,57.94,0.0579,stop_loss
A,2026-03-24T15:00:00+00:00,2026-03-24T16:00:00+00:00,long,1.158078,1.158614,100000,46.34,0.0463,session_filter
A,2026-03-26T11:00:00+00:00,2026-03-26T12:00:00+00:00,long,1.152738,1.155135,100000,207.92,0.2079,stop_loss
A,2026-03-26T13:00:00+00:00,2026-03-26T14:00:00+00:00,long,1.154601,1.155135,100000,46.2,0.0462,stop_loss
A,2026-03-26T15:00:00+00:00,2026-03-26T16:00:00+00:00,long,1.154468,1.153935,100000,-46.16,-0.0462,session_filter
A,2026-03-27T10:00:00+00:00,2026-03-27T11:00:00+00:00,long,1.15141,1.152074,100000,57.61,0.0576,stop_loss
A,2026-03-27T14:00:00+00:00,2026-03-27T16:00:00+00:00,long,1.15327,1.152339,100000,-80.67,-0.0807,session_filter
A,2026-03-30T11:00:00+00:00,2026-03-30T12:00:00+00:00,long,1.148897,1.149425,100000,45.98,0.046,stop_loss
A,2026-03-30T13:00:00+00:00,2026-03-30T14:00:00+00:00,long,1.146657,1.149425,100000,241.38,0.2414,stop_loss
A,2026-03-30T15:00:00+00:00,2026-03-30T16:00:00+00:00,long,1.145738,1.146132,100000,34.38,0.0344,session_filter
A,2026-03-31T10:00:00+00:00,2026-03-31T11:00:00+00:00,long,1.146263,1.146789,100000,45.87,0.0459,stop_loss
